51 34
  0 7711121021 0100100011000000000000001000000000
  1 7713121011 0000001011000100000000000000000000
  2 7713121014 0000000011000001000000010000000010
  3 7713121022 0011000010000000001000001000010010
  4 7713921006 0011000011000001000000000000100010
  5 7713921023 0000100011000001000000010110100001
  6 7713921035 0000000010000001000000100000100000
  7 7713921036 0011001010000000010000101100110000
  8 7713921042 0000000011000000000000000000000000
  9 7713921048 0001100011000001000000010000000010
 10 7812121009 0101000010000001000100000000100000
 11 7812121012 0100000010010011010100000000101000
 12 7812121024 0001000011001001001000000100100010
 13 7812121034 0101000010000100000000010001000010
 14 7813121005 0000000010000001000000000000100000
 15 7813121008 0100100010000001000000000000100000
 16 7813121010 0000000011000001000000000000100010
 17 7813121021 0000000011000001000000000000100000
 18 7813121024 0100100010000000000000000100000000
 19 7813121027 0101000011000001000100000000100000
 20 7813121028 0000000010000001000000000000100000
 21 7813121033 0001000010000001000000000010000000
 22 7813121035 0001000011000001000100000000100000
 23 7813121036 0001000010000001001000000010100000
 24 7813121040 0010100010000001000000000000100000
 25 7813921002 0000001010001000010000011110000000
 26 7813921007 0000000010100000010100001010000000
 27 7813921010 0000000010000001000100000000100000
 28 7813921030 0001001010000001000000010000110010
 29 7813921032 0000000010001000110000011010000000
 30 7813921037 0001000011001000110000011000000001
 31 7813921043 0000000011000001000000000000100000
 32 7912121001 0101000110000010010100001100001100
 33 7912121003 0001001011001001000000010010100011
 34 7912121022 0101000110000010010100001100001100
 35 7912121026 0101000011000000010000000100101000
 36 7913121005 0000001011000000000000011010110001
 37 7913121021 0001000010001001000000010010100011
 38 7913921011 0001000010001100001000011110000000
 39 8011121006 0010010010000000100001000010000000
 40 8011121010 1010000010000010100001000110000101
 41 8011121012 1010000010000000100001000110000101
 42 8011121018 0010010010000000000001000010000101
 43 8011121023 0011010010000000000001000110000101
 44 8011121024 0010000010000000100001000110000100
 45 8011121025 0010010010000000100001000010000101
 46 8011121027 0010010010000000100001000010000101
 47 8011121029 0010000010000000000001000010000100
 48 8011121030 0010000010000000010001000010000101
 49 8011121033 0110010010000000100001000010000101
 50 8013121017 0000000010000000000010000001000100
