48 28
  0 7713121002 0000000000010100000000010001
  1 7713121014 0000001100000100000100000010
  2 7713121018 0000000000010100000001110000
  3 7713921006 0110001100000100000000010010
  4 7713921023 0001001100000100000111010001
  5 7713921035 0000001000000100001000010000
  6 7713921048 0011001100000100000100000010
  7 7812121003 1010000000000100010000010000
  8 7812121004 0010000000100100000100010000
  9 7812121009 1010001000000100010000010000
 10 7812121012 1000001001001101010000010100
 11 7812121024 0010001100100100100010010010
 12 7812121027 0001000010000100001000000001
 13 7813121001 0000000000000100000000000000
 14 7813121002 0001100000000100000000010000
 15 7813121005 0000001000000100000000010000
 16 7813121008 1001001000000100000000010000
 17 7813121010 0000001100000100000000010010
 18 7813121011 1010000000000100010000010000
 19 7813121013 0000000000000100000000010000
 20 7813121015 0010010010000100011000010000
 21 7813121021 0000001100000100000000010000
 22 7813121027 1010001100000100010000010000
 23 7813121028 0000001000000100000000010000
 24 7813121033 0010001000000100000001000000
 25 7813121035 0010001100000100010000010000
 26 7813121036 0010001000000100100001010000
 27 7813121037 1110000000000100001001010000
 28 7813121040 0101001000000100000000010000
 29 7813921010 0000001000000100010000010000
 30 7813921016 1010000000000100000011000000
 31 7813921026 0010000000100100011100000000
 32 7813921027 0010000000110101011100000000
 33 7813921030 0010101000000100000100011010
 34 7813921035 1000010000010100000100000010
 35 7813921043 0000001100000100000000010000
 36 7813921045 0000000000010100000001010010
 37 7912121003 0010101100100100000101010011
 38 7913121003 0010100100100100000101010010
 39 7913121006 0000100000100100010100000011
 40 7913121019 0000100100100100010101000000
 41 7913121021 0010001000100100000101010011
 42 7913121022 0000100000000100010100000011
 43 7913921041 1010000000000100000000000010
 44 7913924030 0110010000100110000000000011
 45 8013121008 0000000000000100000000000010
 46 8113121041 0000110100000100010000010000
 47 8113121043 0011000000000100000110100010
