74 35
  0 7711121003 10011000000000000000000001000000011
  1 7712121034 00010000000100100000000000000001000
  2 7712121039 01010000000000000000000000000000000
  3 7713121022 00110000100000000001000001000010010
  4 7713921006 00110000110000010000000000000100010
  5 7713921009 00110010000001000010000001000000000
  6 7713921010 00010000000000000000000000100000000
  7 7713921018 00010010000010000000100000000010010
  8 7713921036 00110010100000000010000101100110000
  9 7713921048 00011000110000010000000010000000010
 10 7812121003 01010000000000010000100000000100000
 11 7812121004 00010000000010010000000010000100000
 12 7812121007 01010001001001000011000001000000000
 13 7812121009 01010000100000010000100000000100000
 14 7812121024 00010000110010010001000000100100010
 15 7812121034 01010000100001000000000010001000010
 16 7812121036 01010000000010000011000000000100000
 17 7813121011 01010000000000010000100000000100000
 18 7813121015 00010001001000010000100100000100000
 19 7813121018 01010000000000000001000000000000011
 20 7813121023 01010000000000000000000000000000000
 21 7813121027 01010000110000010000100000000100000
 22 7813121031 01010000000000000001000101000000010
 23 7813121033 00010000100000010000000000010000000
 24 7813121035 00010000110000010000100000000100000
 25 7813121036 00010000100000010001000000010100000
 26 7813121037 01110000000000010000000100010100000
 27 7813121048 01010001001001000000000000010100000
 28 7813921016 01010000000000010000000000110000000
 29 7813921017 00010000000000000000000000000000000
 30 7813921018 00010000000000000000000000000000000
 31 7813921026 00010000000010010000100110000000000
 32 7813921027 00010000000011010010100110000000000
 33 7813921030 00010010100000010000000010000110010
 34 7813921034 00010000000000000011000011010100000
 35 7813921037 00010000110010001010000011000000001
 36 7912121001 01010001100000100010100001100001100
 37 7912121003 00010010110010010000000010010100011
 38 7912121017 01010000000000000000000000000000000
 39 7912121022 01010001100000100010100001100001100
 40 7912121026 01010000110000000010000000100101000
 41 7913121001 00010000001010000001000011000000010
 42 7913121003 00010010010010010000000010010100010
 43 7913121004 00010000001010000001000011000000010
 44 7913121007 00010000000010000000000011000010010
 45 7913121012 00010000000001000001000001010010000
 46 7913121014 00010000010010001000000001000000000
 47 7913121015 01010000000000000010000011000000000
 48 7913121018 00010000000010000000000011000010010
 49 7913121021 00010000100010010000000010010100011
 50 7913121023 00010000010011001000000001000000010
 51 7913121028 00010000000000000001000001001000100
 52 7913121030 00010000000011000000000011000000010
 53 7913921011 00010000100011000001000011110000000
 54 7913921014 01010001001001000010000001000010000
 55 7913921015 00010011000001000000100010000100010
 56 7913921017 00010011000001000001000011010100010
 57 7913921018 01010000000001000010000011000000000
 58 7913921028 00010000000011000000000001001000010
 59 7913921034 00010001010000001110001001000000001
 60 7913921041 01010000000000010000000000000000010
 61 7913924011 00010010000010000001000001001000010
 62 7913924014 00010010000010000001000001001000010
 63 7913924022 00110000010011001000000110110000000
 64 7913924023 01010011010010001010000010010000000
 65 7913924030 00110001000010011000000000000000011
 66 7913924035 01010001000010001010000010110000000
 67 7913924040 00110000001011001010000110110000000
 68 8011121004 00110100000000001000001000010000101
 69 8011121005 01010000000000000000010000010000000
 70 8011121008 00110100000000000000001000010000101
 71 8011121023 00110100100000000000001000110000101
 72 8011121028 00110100000000000000001000010000101
 73 8113121043 00011000000000010000000010101000010
