67 33
  0 7711121010 001000000000000100000000010000010
  1 7713121018 000000000000101000000000011100000
  2 7713921023 000010001100001000000010110100010
  3 7813121033 000100001000001000000000010000000
  4 7813121036 000100001000001001000000010100000
  5 7813121037 011100000000001000000100010100000
  6 7813121048 010100010010100000000000010100000
  7 7813921002 000000101001000010000011110000000
  8 7813921007 000000001010000010100001010000000
  9 7813921016 010100000000001000000000110000000
 10 7813921032 000000001001000110000011010000000
 11 7813921034 000000000000000011000011010100001
 12 7813921045 000000000000101000000000010100100
 13 7912121003 000000101101001000000010010100111
 14 7913121003 000000100101001000000010010100101
 15 7913121005 000000101100000000000011010110010
 16 7913121012 000000000000100001000001010010001
 17 7913121019 000000100101001000100010010000000
 18 7913121021 000000001001001000000010010100111
 19 7913121024 000000100001000100000010010000000
 20 7913121027 000000100001000100000010010000000
 21 7913921011 000000001001100001000011110000001
 22 7913921017 000000110000100001000011010100101
 23 7913924022 001000000101100100000110110000001
 24 7913924023 010000110101000110000010010000001
 25 7913924025 000000000011100010000010010000000
 26 7913924033 000000110011000110000011010000000
 27 7913924035 010000010001000110000010110000001
 28 7913924037 000000010011100010000010010000000
 29 7913924040 001000000011100110000110110000001
 30 8011121002 001001000000000100001000010001010
 31 8011121004 001101000000000100001000010001010
 32 8011121005 010100000000000000010000010000000
 33 8011121006 001001001000000100001000010000000
 34 8011121008 001101000000000000001000010001010
 35 8011121009 100000000000000100010000010001000
 36 8011121010 101000001000010100001000110001010
 37 8011121012 101000001000000100001000110001010
 38 8011121013 101000000000000100001000110001010
 39 8011121017 101000000000000100001000110001010
 40 8011121018 001001001000000000001000010001010
 41 8011121019 001000100000000100001000010001000
 42 8011121021 001001000000000100001000010001010
 43 8011121022 001000000000000000000100010000000
 44 8011121023 001101001000000000001000110001010
 45 8011121024 001000001000000100001000110001000
 46 8011121025 001001001000000100001000010001010
 47 8011121027 001001001000000100001000010001010
 48 8011121028 001101000000000000001000010001010
 49 8011121029 001000001000000000001000010001000
 50 8011121030 001000001000000010001000010001010
 51 8011121031 001000000000000000001000010001010
 52 8011121033 011001001000000100001000010001010
 53 8013121005 000000000000000100001000110000000
 54 8013121006 000000010000000100001000010001010
 55 8013121011 000000010100000100010100011001000
 56 8013121024 000000100000000100010100011001000
 57 8013121034 000000000000100000001100111000000
 58 8111121001 000000010010000000000000011000000
 59 8111121002 000000010010000000000000011000000
 60 8111121003 000000010010000000000000011010000
 61 8111121004 000000010010000000000000011010000
 62 8111121006 000000010010000000000000011010000
 63 8111121007 000000010010000000000000011010000
 64 8111121008 000000010010000000000000011000000
 65 8111121012 000000010010000000000000011010000
 66 8113121022 000000010000000000000000011010010
