49 28
  0 7713121014 0000001100001000000100000010
  1 7713921023 0001001100001000000101101001
  2 7713921048 0011001100001000000100000010
  3 7812121004 0010000001001000000100001000
  4 7812121034 1010001000100000000100010010
  5 7813921002 0000101001000010000111100000
  6 7813921026 0010000001001000101100000000
  7 7813921027 0010000001101010101100000000
  8 7813921030 0010101000001000000100001110
  9 7813921032 0000001001000110000110100000
 10 7813921034 0010000000000011000110101000
 11 7813921035 1000010000101000000100000010
 12 7813921037 0010001101000110000110000001
 13 7912121003 0010101101001000000100101011
 14 7913121001 0010000011000001000110000010
 15 7913121003 0010100101001000000100101010
 16 7913121004 0010000011000001000110000010
 17 7913121005 0000101100000000000110101101
 18 7913121006 0000100001001000100100000011
 19 7913121007 0010000001000000000110000110
 20 7913121013 0000000001100001000110000100
 21 7913121015 1010000000000010000110000000
 22 7913121016 0000010011000011000110000001
 23 7913121018 0010000001000000000110000110
 24 7913121019 0000100101001000100100100000
 25 7913121020 1000110011000001001110000100
 26 7913121021 0010001001001000000100101011
 27 7913121022 0000100000001000100100000011
 28 7913121024 0000100001000100000100100000
 29 7913121027 0000100001000100000100100000
 30 7913121030 0010000001100000000110000010
 31 7913921011 0010001001100001000111100000
 32 7913921015 0010110000100000100100001010
 33 7913921017 0010110000100001000110101010
 34 7913921018 1010000000100010000110000000
 35 7913921023 0000000001100011000101000000
 36 7913921026 0000010001100000000110000010
 37 7913921029 0000100000000000100100001010
 38 7913921035 0000100011000001000110000010
 39 7913924012 0000110011000010000100000001
 40 7913924022 0110000101100100001101100000
 41 7913924023 1010110101000110000100100000
 42 7913924025 0000000011100010000100100000
 43 7913924033 0000110011000110000110100000
 44 7913924035 1010010001000110000101100000
 45 7913924037 0000010011100010000100100000
 46 7913924040 0110000011100110001101100000
 47 8011121035 0100000000010010010100000000
 48 8113121043 0011000000001000000101010010
